x,y,energy,signal_strength
150.76945074848135,350.090583451507,1.0,0.0
8.202119676867348,429.3140182603512,1.0,0.0
233.5425078077617,68.63024275446928,1.0,0.0
153.89742465462163,331.4476986497315,1.0,0.0
202.47293990337002,112.57438533514136,1.0,0.0
376.5514734640173,359.80820378278474,1.0,0.0
292.3643752093036,470.87742776438915,1.0,0.0
168.04768228189425,168.07297780045388,1.0,0.0
271.24034969359644,94.25336459309852,1.0,0.0
84.42600645050146,450.4670887496817,1.0,0.0
209.15994951214745,185.09529993980155,1.0,0.23315387372989416
243.72698816670052,189.70666626622145,1.0,0.3938121767807016
247.29506002375683,71.14000015770749,1.0,0.0
168.21069839143777,33.07675952400741,1.0,0.0
302.4384867151832,69.0533055066857,1.0,0.0
202.5405136031906,274.9796961161658,1.0,0.46368031295644874
319.62601788653507,182.58391259213946,1.0,0.030839992151946327
359.48705461310954,440.67186917364523,1.0,0.0
263.3938897727419,265.1046414140968,1.0,0.7981221964918361
398.91072965950826,41.222603591872854,1.0,0.0
2.656095523708435,426.127782461374,1.0,0.0
194.67669650452336,464.10566781812605,1.0,0.0
160.25256310653734,326.2701556915916,1.0,0.0
102.03604132871008,72.98523215293706,1.0,0.0
67.24635688814551,450.13368115568636,1.0,0.0
46.34030276026052,192.77226996887265,1.0,0.0
293.4686285090439,394.39698924812217,1.0,0.0
385.14751759361536,91.38865037984495,1.0,0.0
382.1199490125126,95.21539117769557,1.0,0.0
290.41942567065416,337.2929835641285,1.0,0.038033527035752246
414.15588708138563,123.53121426379626,1.0,0.0
469.0554251969387,406.03604931384854,1.0,0.0
486.18518980989035,443.0342932242415,1.0,0.0
269.8490839986926,369.46615640331066,1.0,0.0
101.53334242301842,464.77709394176276,1.0,0.0
74.7671477441022,401.33156676657865,1.0,0.0
469.17680924839215,357.57865354603206,1.0,0.0
494.00814912098787,133.03927005526367,1.0,0.0
241.27803224389083,272.3078506623963,1.0,0.7604769483506062
490.164117807824,140.4653247968522,1.0,0.0
34.012866764806915,303.2932286171982,1.0,0.0
108.229989224916,337.3266409311645,1.0,0.0
267.8796785731317,290.07282066183893,1.0,0.5611932245652524
335.5315355973643,314.9167514752847,1.0,0.0
119.00475667079851,123.05464463845645,1.0,0.0
30.744800796561112,442.636589008126,1.0,0.0
93.42423693712331,392.6251256198147,1.0,0.0
91.35426619695902,212.41105768107727,1.0,0.0
102.28453393520725,384.16796164932657,1.0,0.0
142.40885476094834,479.7478416244117,1.0,0.0
420.90485561497076,175.8995077679947,1.0,0.0
382.97207716334174,425.2360511158333,1.0,0.0
386.8585591052056,130.97146289638061,1.0,0.0
182.80316625136368,237.4963441868677,1.0,0.3164975585606774
389.3444356591077,411.3525182821913,1.0,0.0
185.51938238478704,55.57064653313143,1.0,0.0
357.7924323431217,348.9883870654379,1.0,0.0
492.51875920186376,356.7512507471007,1.0,0.0
257.83724167424305,497.1562126318351,1.0,0.0
266.2897383505304,297.3435912565121,1.0,0.499323337013554
254.30208736725956,112.15608263290827,1.0,0.0
224.46167999954164,492.83247800344986,1.0,0.0
397.626831662789,490.2948599610806,1.0,0.0
28.278253556671686,168.60338406256113,1.0,0.0
172.35786149482047,345.9303353833696,1.0,0.0
171.08283921447588,219.67743758050185,1.0,0.1545784449085399
56.15159523851304,485.47810586654185,1.0,0.0
238.45064441255604,258.461208420188,1.0,0.8568288917361178
387.60523906242906,221.3383304377899,1.0,0.0
154.7783922856195,24.08806931039753,1.0,0.0
73.49362327586611,489.258468469392,1.0,0.0
180.3206063680728,313.92356608870824,1.0,0.054408111370951584
193.2171301338572,193.13149126882539,1.0,0.19636316687554756
439.87521412678467,441.5082221985525,1.0,0.0
199.45941688790597,348.4973400005501,1.0,0.0
68.55499426172912,23.869941860057143,1.0,0.0
343.30993058260657,43.714831974642095,1.0,0.0
364.931345434524,168.42271935933096,1.0,0.0
424.6270118180109,164.97743622300808,1.0,0.0
180.09699455253747,393.4762734934174,1.0,0.0
194.09342943991442,36.23532292852016,1.0,0.0
115.21631455071524,265.5270010848935,1.0,0.0
286.6576848247082,358.75839338141066,1.0,0.0
447.63749516069134,49.504813032278385,1.0,0.0
305.58042657883817,103.84148658894804,1.0,0.0
56.51817255472608,493.24223010266604,1.0,0.0
468.16606509709015,411.4603892394965,1.0,0.0
340.0110555476421,321.15775715682935,1.0,0.0
487.11575935856513,196.79993406814955,1.0,0.0
153.89234270327634,358.2093523072201,1.0,0.0
452.33035016502004,391.9890869683733,1.0,0.0
2.5365625264801017,344.87703964845934,1.0,0.0
344.116998938189,251.1991359940014,1.0,0.05875362331304668
428.15699699558087,269.77145802531584,1.0,0.0
429.1268888526072,82.09838810763598,1.0,0.0
352.2145581276456,453.7720129692752,1.0,0.0
323.516960848643,377.6643788139928,1.0,0.0
402.87661300723533,393.6144552125658,1.0,0.0
476.7482498148874,468.1506073766439,1.0,0.0
113.24494826818477,452.987385088118,1.0,0.0
